// global attributes:
// etag device attributes:
  :instrument_name = "159924_2013_128419"
  :instrument_type = "s"
  :manufacturer = "Wildlife"
  :model = "SPOT"
  :owner_contact = "wetherbee@uri.edu"
  :person_owner = "Bradley Wetherbee"
  :ptt = "128419"
// etag deployment attributes:
  :geospatial_lat_start = "38.0427"
  :geospatial_lon_start = "-74.493"
  :time_coverage_start = "1369958400"
// etag end of mission attributes:
  :time_coverage_end = "1404950400"
  :end_details = "Argos"
  :end_type = "stopped transmitting"
  :geospatial_lat_end = "42.2644"
  :geospatial_lon_end = "-66.504"
// etag animal attributes:
  :platform = "Isurus oxyrinchus"
  :taxonomic_serial_number = "159924"
// etag quality attributes:
  :found_problem = "no"
  :person_qc = "Camrin Braun"
// data:
// DateTime,VariableID,VariableValue,VariableName,VariableUnits
2013-06-03 09:48:27,2,-74.2922,longitude,degree
2013-06-03 09:48:27,3,37.0511,latitude,degree
2013-06-03 09:48:27,34,B,argosLC,unitless
2013-06-03 10:28:52,2,-74.2952,longitude,degree
2013-06-03 10:28:52,3,37.0802,latitude,degree
2013-06-03 10:28:52,34,1,argosLC,unitless
2013-06-03 11:20:36,2,-74.2917,longitude,degree
2013-06-03 11:20:36,3,37.0766,latitude,degree
2013-06-03 11:20:36,34,B,argosLC,unitless
2013-06-03 12:59:59,2,-74.2932,longitude,degree
2013-06-03 12:59:59,3,37.0539,latitude,degree
2013-06-03 12:59:59,34,2,argosLC,unitless
2013-06-03 13:39:15,2,-74.2918,longitude,degree
2013-06-03 13:39:15,3,37.0595,latitude,degree
2013-06-03 13:39:15,34,B,argosLC,unitless
2013-06-03 15:20:12,2,-74.3088,longitude,degree
2013-06-03 15:20:12,3,37.0418,latitude,degree
2013-06-03 15:20:12,34,B,argosLC,unitless
2013-06-03 18:27:11,2,-74.3157,longitude,degree
2013-06-03 18:27:11,3,37.0299,latitude,degree
2013-06-03 18:27:11,34,B,argosLC,unitless
2013-06-03 19:43:13,2,-74.3139,longitude,degree
2013-06-03 19:43:13,3,37.0297,latitude,degree
2013-06-03 19:43:13,34,B,argosLC,unitless
2013-06-03 20:58:23,2,-74.3071,longitude,degree
2013-06-03 20:58:23,3,37.0538,latitude,degree
2013-06-03 20:58:23,34,A,argosLC,unitless
2013-06-03 21:19:03,2,-74.2886,longitude,degree
2013-06-03 21:19:03,3,37.0402,latitude,degree
2013-06-03 21:19:03,34,3,argosLC,unitless
2013-06-04 00:06:43,2,-74.2548,longitude,degree
2013-06-04 00:06:43,3,37.0449,latitude,degree
2013-06-04 00:06:43,34,B,argosLC,unitless
2013-06-04 00:22:05,2,-74.2663,longitude,degree
2013-06-04 00:22:05,3,37.0562,latitude,degree
2013-06-04 00:22:05,34,A,argosLC,unitless
2013-06-04 00:23:51,2,-74.2662,longitude,degree
2013-06-04 00:23:51,3,37.0565,latitude,degree
2013-06-04 00:23:51,34,B,argosLC,unitless
2013-06-04 05:05:01,2,-74.3313,longitude,degree
2013-06-04 05:05:01,3,37.0479,latitude,degree
2013-06-04 05:05:01,34,B,argosLC,unitless
2013-06-04 07:59:28,2,-74.4511,longitude,degree
2013-06-04 07:59:28,3,36.9213,latitude,degree
2013-06-04 07:59:28,34,2,argosLC,unitless
2013-06-04 08:29:34,2,-74.4582,longitude,degree
2013-06-04 08:29:34,3,36.9117,latitude,degree
2013-06-04 08:29:34,34,B,argosLC,unitless
2013-06-04 09:12:24,2,-74.4619,longitude,degree
2013-06-04 09:12:24,3,36.9069,latitude,degree
2013-06-04 09:12:24,34,2,argosLC,unitless
2013-06-04 09:39:46,2,-74.4685,longitude,degree
2013-06-04 09:39:46,3,36.9031,latitude,degree
2013-06-04 09:39:46,34,2,argosLC,unitless
2013-06-04 09:58:19,2,-74.4686,longitude,degree
2013-06-04 09:58:19,3,36.9032,latitude,degree
2013-06-04 09:58:19,34,B,argosLC,unitless
2013-06-05 07:50:40,2,-74.6991,longitude,degree
2013-06-05 07:50:40,3,36.6153,latitude,degree
2013-06-05 07:50:40,34,A,argosLC,unitless
2013-06-05 08:12:50,2,-74.7031,longitude,degree
2013-06-05 08:12:50,3,36.6088,latitude,degree
2013-06-05 08:12:50,34,B,argosLC,unitless
2013-06-05 08:52:27,2,-74.7024,longitude,degree
2013-06-05 08:52:27,3,36.5975,latitude,degree
2013-06-05 08:52:27,34,B,argosLC,unitless
2013-06-06 00:06:50,2,-74.727,longitude,degree
2013-06-06 00:06:50,3,36.4033,latitude,degree
2013-06-06 00:06:50,34,A,argosLC,unitless
2013-06-06 01:49:48,2,-74.7207,longitude,degree
2013-06-06 01:49:48,3,36.3995,latitude,degree
2013-06-06 01:49:48,34,0,argosLC,unitless
2013-06-06 03:25:04,2,-74.7219,longitude,degree
2013-06-06 03:25:04,3,36.3857,latitude,degree
2013-06-06 03:25:04,34,B,argosLC,unitless
2013-06-06 06:26:27,2,-74.7297,longitude,degree
2013-06-06 06:26:27,3,36.337,latitude,degree
2013-06-06 06:26:27,34,B,argosLC,unitless
2013-06-06 07:43:57,2,-74.7199,longitude,degree
2013-06-06 07:43:57,3,36.2996,latitude,degree
2013-06-06 07:43:57,34,A,argosLC,unitless
2013-06-06 08:00:44,2,-74.7441,longitude,degree
2013-06-06 08:00:44,3,36.3068,latitude,degree
2013-06-06 08:00:44,34,3,argosLC,unitless
2013-06-06 10:42:18,2,-74.7489,longitude,degree
2013-06-06 10:42:18,3,36.2582,latitude,degree
2013-06-06 10:42:18,34,B,argosLC,unitless
2013-06-06 14:59:22,2,-74.7495,longitude,degree
2013-06-06 14:59:22,3,36.1905,latitude,degree
2013-06-06 14:59:22,34,B,argosLC,unitless
2013-06-06 21:20:23,2,-74.7485,longitude,degree
2013-06-06 21:20:23,3,36.1971,latitude,degree
2013-06-06 21:20:23,34,B,argosLC,unitless
2013-06-07 03:17:45,2,-74.7738,longitude,degree
2013-06-07 03:17:45,3,36.1291,latitude,degree
2013-06-07 03:17:45,34,B,argosLC,unitless
2013-06-07 06:14:09,2,-74.7746,longitude,degree
2013-06-07 06:14:09,3,36.0979,latitude,degree
2013-06-07 06:14:09,34,B,argosLC,unitless
2013-06-07 10:50:39,2,-74.7903,longitude,degree
2013-06-07 10:50:39,3,36.0339,latitude,degree
2013-06-07 10:50:39,34,B,argosLC,unitless
2013-06-07 11:19:52,2,-74.78,longitude,degree
2013-06-07 11:19:52,3,36.0231,latitude,degree
2013-06-07 11:19:52,34,2,argosLC,unitless
2013-06-07 11:41:57,2,-74.7795,longitude,degree
2013-06-07 11:41:57,3,36.0185,latitude,degree
2013-06-07 11:41:57,34,B,argosLC,unitless
2013-06-07 13:04:06,2,-74.8053,longitude,degree
2013-06-07 13:04:06,3,36.025,latitude,degree
2013-06-07 13:04:06,34,A,argosLC,unitless
2013-06-08 03:00:30,2,-74.7944,longitude,degree
2013-06-08 03:00:30,3,35.9543,latitude,degree
2013-06-08 03:00:30,34,B,argosLC,unitless
2013-06-08 03:00:58,2,-74.803,longitude,degree
2013-06-08 03:00:58,3,35.9297,latitude,degree
2013-06-08 03:00:58,34,0,argosLC,unitless
2013-06-08 03:42:57,2,-74.8052,longitude,degree
2013-06-08 03:42:57,3,35.9178,latitude,degree
2013-06-08 03:42:57,34,B,argosLC,unitless
2013-06-08 06:02:27,2,-74.7769,longitude,degree
2013-06-08 06:02:27,3,35.8805,latitude,degree
2013-06-08 06:02:27,34,1,argosLC,unitless
2013-06-08 07:16:12,2,-74.8015,longitude,degree
2013-06-08 07:16:12,3,35.8613,latitude,degree
2013-06-08 07:16:12,34,0,argosLC,unitless
2013-06-08 07:46:32,2,-74.8289,longitude,degree
2013-06-08 07:46:32,3,35.8509,latitude,degree
2013-06-08 07:46:32,34,0,argosLC,unitless
2013-06-08 09:34:51,2,-74.8061,longitude,degree
2013-06-08 09:34:51,3,35.81,latitude,degree
2013-06-08 09:34:51,34,3,argosLC,unitless
2013-06-08 10:38:42,2,-74.8163,longitude,degree
2013-06-08 10:38:42,3,35.7997,latitude,degree
2013-06-08 10:38:42,34,1,argosLC,unitless
2013-06-08 10:54:10,2,-74.8289,longitude,degree
2013-06-08 10:54:10,3,35.8034,latitude,degree
2013-06-08 10:54:10,34,2,argosLC,unitless
2013-06-08 11:12:28,2,-74.8298,longitude,degree
2013-06-08 11:12:28,3,35.8066,latitude,degree
2013-06-08 11:12:28,34,1,argosLC,unitless
2013-06-09 00:03:23,2,-74.7891,longitude,degree
2013-06-09 00:03:23,3,35.7741,latitude,degree
2013-06-09 00:03:23,34,A,argosLC,unitless
2013-06-09 10:26:07,2,-74.8308,longitude,degree
2013-06-09 10:26:07,3,35.6541,latitude,degree
2013-06-09 10:26:07,34,B,argosLC,unitless
2013-06-09 10:38:36,2,-74.8224,longitude,degree
2013-06-09 10:38:36,3,35.7177,latitude,degree
2013-06-09 10:38:36,34,B,argosLC,unitless
2013-06-10 07:24:49,2,-74.8127,longitude,degree
2013-06-10 07:24:49,3,35.7475,latitude,degree
2013-06-10 07:24:49,34,B,argosLC,unitless
2013-06-10 08:35:34,2,-74.8182,longitude,degree
2013-06-10 08:35:34,3,35.7283,latitude,degree
2013-06-10 08:35:34,34,B,argosLC,unitless
2013-06-10 08:59:05,2,-74.8043,longitude,degree
2013-06-10 08:59:05,3,35.7269,latitude,degree
2013-06-10 08:59:05,34,B,argosLC,unitless
2013-06-10 10:08:25,2,-74.8133,longitude,degree
2013-06-10 10:08:25,3,35.7147,latitude,degree
2013-06-10 10:08:25,34,B,argosLC,unitless
2013-06-10 10:10:06,2,-74.817,longitude,degree
2013-06-10 10:10:06,3,35.7243,latitude,degree
2013-06-10 10:10:06,34,B,argosLC,unitless
2013-06-10 10:18:56,2,-74.8076,longitude,degree
2013-06-10 10:18:56,3,35.7098,latitude,degree
2013-06-10 10:18:56,34,A,argosLC,unitless
2013-06-10 11:49:39,2,-74.8257,longitude,degree
2013-06-10 11:49:39,3,35.7406,latitude,degree
2013-06-10 11:49:39,34,2,argosLC,unitless
2013-06-10 23:06:21,2,-74.904,longitude,degree
2013-06-10 23:06:21,3,35.8756,latitude,degree
2013-06-10 23:06:21,34,A,argosLC,unitless
2013-06-10 23:58:55,2,-74.894,longitude,degree
2013-06-10 23:58:55,3,35.9073,latitude,degree
2013-06-10 23:58:55,34,B,argosLC,unitless
2013-06-11 01:01:53,2,-74.9118,longitude,degree
2013-06-11 01:01:53,3,35.9154,latitude,degree
2013-06-11 01:01:53,34,0,argosLC,unitless
2013-06-11 01:57:39,2,-74.9411,longitude,degree
2013-06-11 01:57:39,3,35.9357,latitude,degree
2013-06-11 01:57:39,34,B,argosLC,unitless
2013-06-11 02:24:47,2,-74.9326,longitude,degree
2013-06-11 02:24:47,3,35.9386,latitude,degree
2013-06-11 02:24:47,34,2,argosLC,unitless
2013-06-11 02:36:45,2,-74.9292,longitude,degree
2013-06-11 02:36:45,3,35.9415,latitude,degree
