// global attributes:
// etag device attributes:
  :instrument_name = "160189_2009_95949"
  :instrument_type = "s"
  :manufacturer = "Wildlife"
  :model = "SPOT"
  :owner_contact = "wetherbee@uri.edu"
  :person_owner = "Bradley Wetherbee"
  :ptt = "95949"
// etag deployment attributes:
  :geospatial_lat_start = "32.0487"
  :geospatial_lon_start = "-65.0332"
  :time_coverage_start = "1250380800"
// etag end of mission attributes:
  :time_coverage_end = "1284076800"
  :end_details = "Argos"
  :end_type = "stopped transmitting"
  :geospatial_lat_end = "40.474"
  :geospatial_lon_end = "-55.891"
// etag animal attributes:
  :platform = "Galeocerdo cuvier"
  :taxonomic_serial_number = "160189"
// etag quality attributes:
  :found_problem = "no"
  :person_qc = "Camrin Braun"
// data:
// DateTime,VariableID,VariableValue,VariableName,VariableUnits
2009-08-18 10:38:00,2,-65.048,longitude,degree
2009-08-18 10:38:00,3,32.098,latitude,degree
2009-08-18 10:38:00,34,0,argosLC,unitless
2009-08-18 20:20:00,2,-65.113,longitude,degree
2009-08-18 20:20:00,3,32.148,latitude,degree
2009-08-18 20:20:00,34,B,argosLC,unitless
2009-08-18 21:51:00,2,-65.11,longitude,degree
2009-08-18 21:51:00,3,32.122,latitude,degree
2009-08-18 21:51:00,34,B,argosLC,unitless
2009-08-18 21:58:00,2,-65.123,longitude,degree
2009-08-18 21:58:00,3,32.189,latitude,degree
2009-08-18 21:58:00,34,B,argosLC,unitless
2009-08-19 10:14:00,2,-65.019,longitude,degree
2009-08-19 10:14:00,3,32.082,latitude,degree
2009-08-19 10:14:00,34,B,argosLC,unitless
2009-08-20 09:52:00,2,-65.02,longitude,degree
2009-08-20 09:52:00,3,32.057,latitude,degree
2009-08-20 09:52:00,34,1,argosLC,unitless
2009-08-21 07:46:00,2,-65.007,longitude,degree
2009-08-21 07:46:00,3,32.08,latitude,degree
2009-08-21 07:46:00,34,B,argosLC,unitless
2009-08-21 09:26:00,2,-65.076,longitude,degree
2009-08-21 09:26:00,3,32.088,latitude,degree
2009-08-21 09:26:00,34,A,argosLC,unitless
2009-08-21 16:02:00,2,-65.075,longitude,degree
2009-08-21 16:02:00,3,32.125,latitude,degree
2009-08-21 16:02:00,34,B,argosLC,unitless
2009-08-21 16:57:00,2,-65.078,longitude,degree
2009-08-21 16:57:00,3,32.098,latitude,degree
2009-08-21 16:57:00,34,A,argosLC,unitless
2009-08-21 21:23:00,2,-65.076,longitude,degree
2009-08-21 21:23:00,3,32.08,latitude,degree
2009-08-21 21:23:00,34,B,argosLC,unitless
2009-08-22 15:16:00,2,-65.017,longitude,degree
2009-08-22 15:16:00,3,32.16,latitude,degree
2009-08-22 15:16:00,34,0,argosLC,unitless
2009-08-22 21:55:00,2,-65.061,longitude,degree
2009-08-22 21:55:00,3,32.109,latitude,degree
2009-08-22 21:55:00,34,1,argosLC,unitless
2009-08-23 02:31:00,2,-65.06,longitude,degree
2009-08-23 02:31:00,3,32.103,latitude,degree
2009-08-23 02:31:00,34,B,argosLC,unitless
2009-08-23 03:01:00,2,-65.027,longitude,degree
2009-08-23 03:01:00,3,32.045,latitude,degree
2009-08-23 03:01:00,34,A,argosLC,unitless
2009-08-23 19:53:00,2,-65.034,longitude,degree
2009-08-23 19:53:00,3,32.133,latitude,degree
2009-08-23 19:53:00,34,1,argosLC,unitless
2009-08-23 21:00:00,2,-65.005,longitude,degree
2009-08-23 21:00:00,3,32.071,latitude,degree
2009-08-23 21:00:00,34,A,argosLC,unitless
2009-08-23 22:41:00,2,-65.071,longitude,degree
2009-08-23 22:41:00,3,32.064,latitude,degree
2009-08-23 22:41:00,34,2,argosLC,unitless
2009-08-24 01:01:00,2,-65.097,longitude,degree
2009-08-24 01:01:00,3,32.102,latitude,degree
2009-08-24 01:01:00,34,1,argosLC,unitless
2009-08-24 09:24:00,2,-65.042,longitude,degree
2009-08-24 09:24:00,3,32.106,latitude,degree
2009-08-24 09:24:00,34,1,argosLC,unitless
2009-08-24 09:53:00,2,-65.041,longitude,degree
2009-08-24 09:53:00,3,32.098,latitude,degree
2009-08-24 09:53:00,34,1,argosLC,unitless
2009-08-24 11:02:00,2,-65.055,longitude,degree
2009-08-24 11:02:00,3,32.096,latitude,degree
2009-08-24 11:02:00,34,B,argosLC,unitless
2009-08-24 18:05:00,2,-65.019,longitude,degree
2009-08-24 18:05:00,3,32.071,latitude,degree
2009-08-24 18:05:00,34,B,argosLC,unitless
2009-08-24 19:27:00,2,-65.035,longitude,degree
2009-08-24 19:27:00,3,32.121,latitude,degree
2009-08-24 19:27:00,34,A,argosLC,unitless
2009-08-24 19:36:00,2,-65.042,longitude,degree
2009-08-24 19:36:00,3,32.084,latitude,degree
2009-08-24 19:36:00,34,B,argosLC,unitless
2009-08-24 20:47:00,2,-65.039,longitude,degree
2009-08-24 20:47:00,3,32.107,latitude,degree
2009-08-24 20:47:00,34,1,argosLC,unitless
2009-08-24 21:06:00,2,-65.049,longitude,degree
2009-08-24 21:06:00,3,32.111,latitude,degree
2009-08-24 21:06:00,34,2,argosLC,unitless
2009-08-25 00:36:00,2,-65.009,longitude,degree
2009-08-25 00:36:00,3,32.082,latitude,degree
2009-08-25 00:36:00,34,B,argosLC,unitless
2009-08-25 01:47:00,2,-65.053,longitude,degree
2009-08-25 01:47:00,3,32.064,latitude,degree
2009-08-25 01:47:00,34,A,argosLC,unitless
2009-08-25 04:42:00,2,-64.973,longitude,degree
2009-08-25 04:42:00,3,32.082,latitude,degree
2009-08-25 04:42:00,34,B,argosLC,unitless
2009-08-25 04:50:00,2,-64.989,longitude,degree
2009-08-25 04:50:00,3,32.091,latitude,degree
2009-08-25 04:50:00,34,1,argosLC,unitless
2009-08-25 06:27:00,2,-64.972,longitude,degree
2009-08-25 06:27:00,3,32.123,latitude,degree
2009-08-25 06:27:00,34,0,argosLC,unitless
2009-08-25 08:06:00,2,-64.982,longitude,degree
2009-08-25 08:06:00,3,32.106,latitude,degree
2009-08-25 08:06:00,34,A,argosLC,unitless
2009-08-25 08:10:00,2,-64.99,longitude,degree
2009-08-25 08:10:00,3,32.107,latitude,degree
2009-08-25 08:10:00,34,A,argosLC,unitless
2009-08-25 09:14:00,2,-65.005,longitude,degree
2009-08-25 09:14:00,3,32.094,latitude,degree
2009-08-25 09:14:00,34,2,argosLC,unitless
2009-08-26 00:18:00,2,-60.81,longitude,degree
2009-08-26 00:18:00,3,32.097,latitude,degree
2009-08-26 00:18:00,34,1,argosLC,unitless
2009-08-26 01:27:00,2,-66.727,longitude,degree
2009-08-26 01:27:00,3,31.66,latitude,degree
2009-08-26 01:27:00,34,0,argosLC,unitless
2009-08-26 02:00:00,2,-65.065,longitude,degree
2009-08-26 02:00:00,3,32.078,latitude,degree
2009-08-26 02:00:00,34,2,argosLC,unitless
2009-08-26 03:02:00,2,-65.048,longitude,degree
2009-08-26 03:02:00,3,32.066,latitude,degree
2009-08-26 03:02:00,34,B,argosLC,unitless
2009-08-26 06:26:00,2,-64.91,longitude,degree
2009-08-26 06:26:00,3,31.99,latitude,degree
2009-08-26 06:26:00,34,B,argosLC,unitless
2009-08-26 07:55:00,2,-65.048,longitude,degree
2009-08-26 07:55:00,3,32.091,latitude,degree
2009-08-26 07:55:00,34,2,argosLC,unitless
2009-08-26 07:57:00,2,-65.034,longitude,degree
2009-08-26 07:57:00,3,32.084,latitude,degree
2009-08-26 07:57:00,34,A,argosLC,unitless
2009-08-26 09:05:00,2,-64.97,longitude,degree
2009-08-26 09:05:00,3,32.094,latitude,degree
2009-08-26 09:05:00,34,A,argosLC,unitless
2009-08-26 09:07:00,2,-65.041,longitude,degree
2009-08-26 09:07:00,3,32.073,latitude,degree
2009-08-26 09:07:00,34,1,argosLC,unitless
2009-08-27 01:38:00,2,-65.103,longitude,degree
2009-08-27 01:38:00,3,32.103,latitude,degree
2009-08-27 01:38:00,34,2,argosLC,unitless
2009-08-27 02:35:00,2,-65.09,longitude,degree
2009-08-27 02:35:00,3,32.125,latitude,degree
2009-08-27 02:35:00,34,B,argosLC,unitless
2009-08-27 03:20:00,2,-61.31,longitude,degree
2009-08-27 03:20:00,3,32.144,latitude,degree
2009-08-27 03:20:00,34,B,argosLC,unitless
2009-08-27 06:01:00,2,-65.159,longitude,degree
2009-08-27 06:01:00,3,32.115,latitude,degree
