// global attributes:
// etag device attributes:
  :instrument_name = "159903_2012_117464"
  :instrument_type = "s"
  :manufacturer = "Wildlife"
  :model = "SPOT"
  :owner_contact = "Alison.Kock@sanparks.org"
  :person_owner = "Alison Kock"
  :ptt = "117464"
// etag deployment attributes:
  :geospatial_lat_start = "-34.071603"
  :geospatial_lon_start = "22.211356"
  :time_coverage_start = "1331337600"
// etag end of mission attributes:
  :time_coverage_end = "1386288000"
  :end_details = "final SPOT"
  :end_type = "stopped transmitting"
  :geospatial_lat_end = "-26.32"
  :geospatial_lon_end = "32.932"
// etag animal attributes:
  :length_capture = "350"
  :length_method_capture = "measured"
  :length_type_capture = "total length"
  :length_unit_capture = "cm"
  :platform = "Carcharodon carcharias"
  :taxonomic_serial_number = "159903"
  :sex = "female"
// etag quality attributes:
  :found_problem = "no"
  :person_qc = "Camrin Braun"
// data:
// DateTime,VariableID,VariableValue,VariableName,VariableUnits
2012-03-16 18:31:39,2,22.2,longitude,degree
2012-03-16 18:31:39,3,-34.142,latitude,degree
2012-03-16 18:31:39,34,A,argosLC,unitless
2012-03-16 18:48:58,2,22.201,longitude,degree
2012-03-16 18:48:58,3,-34.115,latitude,degree
2012-03-16 18:48:58,34,1,argosLC,unitless
2012-03-16 19:32:23,2,22.217,longitude,degree
2012-03-16 19:32:23,3,-34.124,latitude,degree
2012-03-16 19:32:23,34,A,argosLC,unitless
2012-03-16 20:15:40,2,22.2,longitude,degree
2012-03-16 20:15:40,3,-34.138,latitude,degree
2012-03-16 20:15:40,34,B,argosLC,unitless
2012-03-16 20:28:44,2,22.2,longitude,degree
2012-03-16 20:28:44,3,-34.138,latitude,degree
2012-03-16 20:28:44,34,B,argosLC,unitless
2012-03-16 21:14:19,2,22.201,longitude,degree
2012-03-16 21:14:19,3,-34.138,latitude,degree
2012-03-16 21:14:19,34,B,argosLC,unitless
2012-03-16 22:55:32,2,22.232,longitude,degree
2012-03-16 22:55:32,3,-34.186,latitude,degree
2012-03-16 22:55:32,34,1,argosLC,unitless
2012-03-16 23:09:05,2,22.228,longitude,degree
2012-03-16 23:09:05,3,-34.192,latitude,degree
2012-03-16 23:09:05,34,2,argosLC,unitless
2012-03-17 00:36:43,2,22.239,longitude,degree
2012-03-17 00:36:43,3,-34.204,latitude,degree
2012-03-17 00:36:43,34,B,argosLC,unitless
2012-03-17 00:52:50,2,22.209,longitude,degree
2012-03-17 00:52:50,3,-34.21,latitude,degree
2012-03-17 00:52:50,34,A,argosLC,unitless
2012-03-17 01:16:51,2,22.208,longitude,degree
2012-03-17 01:16:51,3,-34.218,latitude,degree
2012-03-17 01:16:51,34,A,argosLC,unitless
2012-03-17 02:36:14,2,22.204,longitude,degree
2012-03-17 02:36:14,3,-34.236,latitude,degree
2012-03-17 02:36:14,34,B,argosLC,unitless
2012-03-17 04:32:38,2,22.187,longitude,degree
2012-03-17 04:32:38,3,-34.224,latitude,degree
2012-03-17 04:32:38,34,B,argosLC,unitless
2012-03-17 04:33:52,2,22.157,longitude,degree
2012-03-17 04:33:52,3,-34.265,latitude,degree
2012-03-17 04:33:52,34,A,argosLC,unitless
2012-03-17 05:20:21,2,22.154,longitude,degree
2012-03-17 05:20:21,3,-34.273,latitude,degree
2012-03-17 05:20:21,34,B,argosLC,unitless
2012-03-17 05:49:14,2,22.209,longitude,degree
2012-03-17 05:49:14,3,-34.266,latitude,degree
2012-03-17 05:49:14,34,B,argosLC,unitless
2012-03-17 06:11:17,2,22.199,longitude,degree
2012-03-17 06:11:17,3,-34.269,latitude,degree
2012-03-17 06:11:17,34,B,argosLC,unitless
2012-03-17 07:02:45,2,22.203,longitude,degree
2012-03-17 07:02:45,3,-34.335,latitude,degree
2012-03-17 07:02:45,34,B,argosLC,unitless
2012-03-17 07:31:57,2,22.182,longitude,degree
2012-03-17 07:31:57,3,-34.35,latitude,degree
2012-03-17 07:31:57,34,B,argosLC,unitless
2012-03-18 02:23:05,2,21.871,longitude,degree
2012-03-18 02:23:05,3,-34.37,latitude,degree
2012-03-18 02:23:05,34,1,argosLC,unitless
2012-03-18 02:30:24,2,21.87,longitude,degree
2012-03-18 02:30:24,3,-34.369,latitude,degree
2012-03-18 02:30:24,34,3,argosLC,unitless
2012-03-18 05:12:16,2,21.812,longitude,degree
2012-03-18 05:12:16,3,-34.394,latitude,degree
2012-03-18 05:12:16,34,1,argosLC,unitless
2012-03-18 05:32:18,2,21.888,longitude,degree
2012-03-18 05:32:18,3,-34.426,latitude,degree
2012-03-18 05:32:18,34,B,argosLC,unitless
2012-03-18 05:44:12,2,21.715,longitude,degree
2012-03-18 05:44:12,3,-34.38,latitude,degree
2012-03-18 05:44:12,34,0,argosLC,unitless
2012-03-18 06:41:50,2,21.784,longitude,degree
2012-03-18 06:41:50,3,-34.41,latitude,degree
2012-03-18 06:41:50,34,2,argosLC,unitless
2012-03-18 07:08:53,2,21.786,longitude,degree
2012-03-18 07:08:53,3,-34.409,latitude,degree
2012-03-18 07:08:53,34,2,argosLC,unitless
2012-03-18 07:22:12,2,21.791,longitude,degree
2012-03-18 07:22:12,3,-34.414,latitude,degree
2012-03-18 07:22:12,34,B,argosLC,unitless
2012-03-18 14:26:26,2,21.844,longitude,degree
2012-03-18 14:26:26,3,-34.446,latitude,degree
2012-03-18 14:26:26,34,A,argosLC,unitless
2012-03-18 14:45:14,2,21.575,longitude,degree
2012-03-18 14:45:14,3,-34.38,latitude,degree
2012-03-18 14:45:14,34,A,argosLC,unitless
2012-03-18 14:45:29,2,21.623,longitude,degree
2012-03-18 14:45:29,3,-34.385,latitude,degree
2012-03-18 14:45:29,34,0,argosLC,unitless
2012-03-18 19:12:07,2,21.44,longitude,degree
2012-03-18 19:12:07,3,-34.403,latitude,degree
2012-03-18 19:12:07,34,0,argosLC,unitless
2012-03-18 19:25:01,2,21.441,longitude,degree
2012-03-18 19:25:01,3,-34.402,latitude,degree
2012-03-18 19:25:01,34,B,argosLC,unitless
2012-03-18 19:48:16,2,21.43,longitude,degree
2012-03-18 19:48:16,3,-34.389,latitude,degree
2012-03-18 19:48:16,34,A,argosLC,unitless
2012-03-19 00:12:28,2,21.421,longitude,degree
2012-03-19 00:12:28,3,-34.443,latitude,degree
2012-03-19 00:12:28,34,2,argosLC,unitless
2012-03-19 00:30:51,2,21.399,longitude,degree
2012-03-19 00:30:51,3,-34.447,latitude,degree
2012-03-19 00:30:51,34,2,argosLC,unitless
2012-03-19 02:04:23,2,21.392,longitude,degree
2012-03-19 02:04:23,3,-34.473,latitude,degree
2012-03-19 02:04:23,34,B,argosLC,unitless
2012-03-19 04:51:54,2,21.337,longitude,degree
2012-03-19 04:51:54,3,-34.462,latitude,degree
2012-03-19 04:51:54,34,B,argosLC,unitless
2012-03-19 05:20:30,2,21.329,longitude,degree
2012-03-19 05:20:30,3,-34.47,latitude,degree
2012-03-19 05:20:30,34,B,argosLC,unitless
2012-03-20 03:14:58,2,21.185,longitude,degree
2012-03-20 03:14:58,3,-34.67,latitude,degree
2012-03-20 03:14:58,34,B,argosLC,unitless
2012-03-20 04:43:16,2,20.981,longitude,degree
2012-03-20 04:43:16,3,-34.375,latitude,degree
2012-03-20 04:43:16,34,A,argosLC,unitless
2012-03-20 04:56:32,2,20.975,longitude,degree
2012-03-20 04:56:32,3,-34.379,latitude,degree
2012-03-20 04:56:32,34,1,argosLC,unitless
2012-03-20 06:24:03,2,20.905,longitude,degree
2012-03-20 06:24:03,3,-34.333,latitude,degree
2012-03-20 06:24:03,34,B,argosLC,unitless
2012-03-20 06:27:07,2,21.311,longitude,degree
2012-03-20 06:27:07,3,-34.388,latitude,degree
2012-03-20 06:27:07,34,B,argosLC,unitless
2012-03-20 08:03:25,2,21.057,longitude,degree
2012-03-20 08:03:25,3,-34.273,latitude,degree
2012-03-20 08:03:25,34,A,argosLC,unitless
2012-03-20 08:07:18,2,20.992,longitude,degree
2012-03-20 08:07:18,3,-34.38,latitude,degree
2012-03-20 08:07:18,34,1,argosLC,unitless
2012-03-20 09:48:42,2,20.901,longitude,degree
2012-03-20 09:48:42,3,-34.366,latitude,degree
2012-03-20 09:48:42,34,B,argosLC,unitless
2012-03-20 10:45:28,2,20.849,longitude,degree
2012-03-20 10:45:28,3,-34.367,latitude,degree
